panel_id	dataset_id	sample_id	method_id	K	status	wall_time_sec	peak_rss_mb	is_laptop_feasible	is_cloud_required	recommendation	notes
Fig4A	GSE311294	GSM9322957_TR11_206	M0_expr_kmeans	4	success	0.10708	376.379	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322957_TR11_206	M0_expr_kmeans	6	success	0.198728	381.152	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322957_TR11_206	M1_spatial_concat_kmeans	4	success	0.113782	377.555	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322957_TR11_206	M1_spatial_concat_kmeans	6	success	0.211257	377.605	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322958_TR11_16184	M0_expr_kmeans	4	success	0.160143	400.02	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322958_TR11_16184	M0_expr_kmeans	6	success	0.241998	409.887	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322958_TR11_16184	M1_spatial_concat_kmeans	4	success	0.147184	400.484	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322958_TR11_16184	M1_spatial_concat_kmeans	6	success	0.225555	411.117	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	4	success	0.168205	327.156	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	success	0.195415	316.984	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322959_TR11_18105	M1_spatial_concat_kmeans	4	success	0.152408	307.426	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322959_TR11_18105	M1_spatial_concat_kmeans	6	success	0.213949	309.152	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322960_TR11_21723	M0_expr_kmeans	4	success	0.181217	364.949	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322960_TR11_21723	M0_expr_kmeans	6	success	0.226566	345.277	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322960_TR11_21723	M1_spatial_concat_kmeans	4	success	0.123088	323.695	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322960_TR11_21723	M1_spatial_concat_kmeans	6	success	0.19955	358.277	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322961_TR16_23542	M0_expr_kmeans	4	success	0.139657	275.457	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322961_TR16_23542	M0_expr_kmeans	6	success	0.244296	276.23	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322961_TR16_23542	M1_spatial_concat_kmeans	4	success	0.134151	295.316	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322961_TR16_23542	M1_spatial_concat_kmeans	6	success	0.286646	263.562	1	0	local-first	stage3a-full-replication
Fig4A	GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	4	success	0.203217	427.809	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	6	success	0.264335	428.379	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265211_CTC21P	M1_spatial_concat_kmeans	4	success	0.197097	423.117	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265211_CTC21P	M1_spatial_concat_kmeans	6	success	0.296233	422.055	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	4	success	0.241704	437.777	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	6	success	0.276659	442.734	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265212_CTC21M	M1_spatial_concat_kmeans	4	success	0.20309	437.664	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265212_CTC21M	M1_spatial_concat_kmeans	6	success	0.215398	443.379	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265213_CTC17P	M0_expr_kmeans	4	success	0.129553	469.25	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265213_CTC17P	M0_expr_kmeans	6	success	0.188593	471.789	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265213_CTC17P	M1_spatial_concat_kmeans	4	success	0.129662	453.926	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265213_CTC17P	M1_spatial_concat_kmeans	6	success	0.183224	450.25	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265214_CTC17M	M0_expr_kmeans	4	success	0.165249	417.73	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265214_CTC17M	M0_expr_kmeans	6	success	0.281992	411.922	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265214_CTC17M	M1_spatial_concat_kmeans	4	success	0.165963	410.195	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265214_CTC17M	M1_spatial_concat_kmeans	6	success	0.326728	438.168	1	0	local-first	stage3b-full-replication
Fig4A	GSE311294	GSM9322957_TR11_206	BayesSpace	4	success	336.822	NA	1	0	local-first	stage3-bayesspace
Fig4B	GSE311294	GSM9322958_TR11_16184	BayesSpace	4	success	472.824	NA	1	0	local-first	stage5-bayesspace-robustness
Fig4B	GSE311294	GSM9322958_TR11_16184	BayesSpace	6	success	495.996	NA	1	0	local-first	stage5-bayesspace-robustness
Fig4C	GSE311294	GSM9322959_TR11_18105	BayesSpace	4	success	222.357	NA	1	0	local-first	stage6-bayesspace-multiseed-seed23
Fig4C	GSE311294	GSM9322959_TR11_18105	BayesSpace	6	success	239.857	NA	1	0	local-first	stage6-bayesspace-multiseed-seed23
Fig4C	GSE311294	GSM9322959_TR11_18105	BayesSpace	4	success	224.953	NA	1	0	local-first	stage6-bayesspace-multiseed-seed37
Fig4C	GSE311294	GSM9322959_TR11_18105	BayesSpace	6	success	243.601	NA	1	0	local-first	stage6-bayesspace-multiseed-seed37
Fig4D	GSE267401	GSM8265211_CTC21P	BayesSpace	4	success	617.926	NA	1	0	local-first	stage7-bayesspace-crosscohort
Fig4D	GSE267401	GSM8265211_CTC21P	BayesSpace	6	success	638.201	NA	1	0	local-first	stage7-bayesspace-crosscohort
Fig4E	GSE267401	GSM8265212_CTC21M	BayesSpace	4	success	627.437	NA	1	0	local-first	stage8-bayesspace-crosscohort-multiseed-seed23
Fig4E	GSE267401	GSM8265212_CTC21M	BayesSpace	6	success	646.213	NA	1	0	local-first	stage8-bayesspace-crosscohort-multiseed-seed23
Fig4E	GSE267401	GSM8265212_CTC21M	BayesSpace	4	success	624.177	NA	1	0	local-first	stage8-bayesspace-crosscohort-multiseed-seed37
Fig4E	GSE267401	GSM8265212_CTC21M	BayesSpace	6	success	642.307	NA	1	0	local-first	stage8-bayesspace-crosscohort-multiseed-seed37
Fig4F	GSE267401	GSM8265213_CTC17P	BayesSpace	4	success	619.759	NA	1	0	local-first	stage9-bayesspace-crosscohort-sample3-seed23
Fig4F	GSE267401	GSM8265213_CTC17P	BayesSpace	6	success	637.548	NA	1	0	local-first	stage9-bayesspace-crosscohort-sample3-seed23
Fig4F	GSE267401	GSM8265213_CTC17P	BayesSpace	4	success	618.384	NA	1	0	local-first	stage9-bayesspace-crosscohort-sample3-seed37
Fig4F	GSE267401	GSM8265213_CTC17P	BayesSpace	6	success	635.735	NA	1	0	local-first	stage9-bayesspace-crosscohort-sample3-seed37
Fig4R	GSE267401	GSM8265211_CTC21P	BayesSpace	4	success	18.688	NA	1	0	local-first	rigor-backfill-GSE267401-GSM8265211_CTC21P
Fig4R	GSE267401	GSM8265211_CTC21P	BayesSpace	6	success	19.071	NA	1	0	local-first	rigor-backfill-GSE267401-GSM8265211_CTC21P
Fig4R	GSE311294	GSM9322957_TR11_206	BayesSpace	4	success	17.3025	NA	1	0	local-first	rigor-backfill-GSE311294-GSM9322957_TR11_206
Fig4R	GSE311294	GSM9322957_TR11_206	BayesSpace	6	success	17.0135	NA	1	0	local-first	rigor-backfill-GSE311294-GSM9322957_TR11_206
Fig4R	GSE267401	GSM8265212_CTC21M	BayesSpace	4	success	25.4165	NA	1	0	local-first	rigor-backfill-GSE267401-GSM8265212_CTC21M
Fig4R	GSE267401	GSM8265212_CTC21M	BayesSpace	6	success	26.8645	NA	1	0	local-first	rigor-backfill-GSE267401-GSM8265212_CTC21M
Fig4R	GSE267401	GSM8265213_CTC17P	BayesSpace	4	success	15.749	NA	1	0	local-first	rigor-backfill-GSE267401-GSM8265213_CTC17P
Fig4R	GSE267401	GSM8265213_CTC17P	BayesSpace	6	success	16.4885	NA	1	0	local-first	rigor-backfill-GSE267401-GSM8265213_CTC17P
Fig4R	GSE311294	GSM9322958_TR11_16184	BayesSpace	4	success	22.3759999999999	NA	1	0	local-first	rigor-backfill-GSE311294-GSM9322958_TR11_16184
Fig4R	GSE311294	GSM9322958_TR11_16184	BayesSpace	6	success	20.3335000000001	NA	1	0	local-first	rigor-backfill-GSE311294-GSM9322958_TR11_16184
Fig4R	GSE311294	GSM9322959_TR11_18105	BayesSpace	4	success	16.001	NA	1	0	local-first	rigor-backfill-GSE311294-GSM9322959_TR11_18105
Fig4R	GSE311294	GSM9322959_TR11_18105	BayesSpace	6	success	17.4215	NA	1	0	local-first	rigor-backfill-GSE311294-GSM9322959_TR11_18105
Fig4A	GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	4	success	0.133013	294.52	1	0	local-first	smoke-test
Fig4A	GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	6	success	0.27076	315.004	1	0	local-first	smoke-test
Fig4A	GSE285505	GSM8703563_Tumor19	M1_spatial_concat_kmeans	4	success	0.131902	298.121	1	0	local-first	smoke-test
Fig4A	GSE285505	GSM8703563_Tumor19	M1_spatial_concat_kmeans	6	success	0.190762	299.719	1	0	local-first	smoke-test
Fig4A	GSE311294	GSM9322957_TR11_206	M2_spatial_ward	4	success	0.401417	358.77	1	0	local-first	stage3a-full-replication-m2
Fig4A	GSE311294	GSM9322957_TR11_206	M2_spatial_ward	6	success	0.414324	316.215	1	0	local-first	stage3a-full-replication-m2
Fig4A	GSE311294	GSM9322958_TR11_16184	M2_spatial_ward	4	success	0.511158	410.598	1	0	local-first	stage3a-full-replication-m2
Fig4A	GSE311294	GSM9322958_TR11_16184	M2_spatial_ward	6	success	0.572535	407.254	1	0	local-first	stage3a-full-replication-m2
Fig4A	GSE311294	GSM9322959_TR11_18105	M2_spatial_ward	4	success	0.370556	267.238	1	0	local-first	stage3a-full-replication-m2
Fig4A	GSE311294	GSM9322959_TR11_18105	M2_spatial_ward	6	success	0.332675	315.852	1	0	local-first	stage3a-full-replication-m2
Fig4A	GSE311294	GSM9322960_TR11_21723	M2_spatial_ward	4	success	0.43025	303.461	1	0	local-first	stage3a-full-replication-m2
Fig4A	GSE311294	GSM9322960_TR11_21723	M2_spatial_ward	6	success	0.382049	376.477	1	0	local-first	stage3a-full-replication-m2
Fig4A	GSE311294	GSM9322961_TR16_23542	M2_spatial_ward	4	success	0.406698	246.695	1	0	local-first	stage3a-full-replication-m2
Fig4A	GSE311294	GSM9322961_TR16_23542	M2_spatial_ward	6	success	0.420145	308.086	1	0	local-first	stage3a-full-replication-m2
Fig4A	GSE267401	GSM8265211_CTC21P	M2_spatial_ward	4	success	0.501099	476.883	1	0	local-first	stage3b-full-replication-m2
Fig4A	GSE267401	GSM8265211_CTC21P	M2_spatial_ward	6	success	0.532672	441.879	1	0	local-first	stage3b-full-replication-m2
Fig4A	GSE267401	GSM8265212_CTC21M	M2_spatial_ward	4	success	0.419967	403.934	1	0	local-first	stage3b-full-replication-m2
Fig4A	GSE267401	GSM8265212_CTC21M	M2_spatial_ward	6	success	0.444271	402.855	1	0	local-first	stage3b-full-replication-m2
Fig4A	GSE267401	GSM8265213_CTC17P	M2_spatial_ward	4	success	0.378761	437.266	1	0	local-first	stage3b-full-replication-m2
Fig4A	GSE267401	GSM8265213_CTC17P	M2_spatial_ward	6	success	0.34807	520.117	1	0	local-first	stage3b-full-replication-m2
Fig4A	GSE267401	GSM8265214_CTC17M	M2_spatial_ward	4	success	0.472276	460.77	1	0	local-first	stage3b-full-replication-m2
Fig4A	GSE267401	GSM8265214_CTC17M	M2_spatial_ward	6	success	0.416267	460.527	1	0	local-first	stage3b-full-replication-m2
Fig4R	GSE267401	GSM8265211_CTC21P	BayesSpace	4	success	21.0549999999999	NA	1	0	local-first	rigor-backfill-v2-GSE267401-GSM8265211_CTC21P
Fig4R	GSE267401	GSM8265211_CTC21P	BayesSpace	6	success	32.3785	NA	1	0	local-first	rigor-backfill-v2-GSE267401-GSM8265211_CTC21P
Fig4R	GSE267401	GSM8265212_CTC21M	BayesSpace	4	success	23.566	NA	1	0	local-first	rigor-backfill-v2-GSE267401-GSM8265212_CTC21M
Fig4R	GSE267401	GSM8265212_CTC21M	BayesSpace	6	success	19.491	NA	1	0	local-first	rigor-backfill-v2-GSE267401-GSM8265212_CTC21M
Fig4R	GSE267401	GSM8265213_CTC17P	BayesSpace	4	success	17.009	NA	1	0	local-first	rigor-backfill-v2-GSE267401-GSM8265213_CTC17P
Fig4R	GSE267401	GSM8265213_CTC17P	BayesSpace	6	success	15.778	NA	1	0	local-first	rigor-backfill-v2-GSE267401-GSM8265213_CTC17P
Fig4R	GSE311294	GSM9322957_TR11_206	BayesSpace	4	success	16.583	NA	1	0	local-first	rigor-backfill-v2-GSE311294-GSM9322957_TR11_206
Fig4R	GSE311294	GSM9322957_TR11_206	BayesSpace	6	success	16.915	NA	1	0	local-first	rigor-backfill-v2-GSE311294-GSM9322957_TR11_206
Fig4R	GSE311294	GSM9322958_TR11_16184	BayesSpace	4	success	20.119	NA	1	0	local-first	rigor-backfill-v2-GSE311294-GSM9322958_TR11_16184
Fig4R	GSE311294	GSM9322958_TR11_16184	BayesSpace	6	success	22.1775	NA	1	0	local-first	rigor-backfill-v2-GSE311294-GSM9322958_TR11_16184
Fig4R	GSE311294	GSM9322959_TR11_18105	BayesSpace	4	success	17.512	NA	1	0	local-first	rigor-backfill-v2-GSE311294-GSM9322959_TR11_18105
Fig4R	GSE311294	GSM9322959_TR11_18105	BayesSpace	6	success	17.024	NA	1	0	local-first	rigor-backfill-v2-GSE311294-GSM9322959_TR11_18105
Fig4A	GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	4	success	0.278755	310.766	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	6	success	0.212703	316.508	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703563_Tumor19	M1_spatial_concat_kmeans	4	success	0.127676	314.141	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703563_Tumor19	M1_spatial_concat_kmeans	6	success	0.171281	315.859	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703563_Tumor19	M3_spatial_leiden	4	success	0.180221	316.559	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703563_Tumor19	M3_spatial_leiden	6	success	0.18353	335.129	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703564_Tumor20	M0_expr_kmeans	4	success	0.090676	252.59	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703564_Tumor20	M0_expr_kmeans	6	success	0.112988	275.047	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703564_Tumor20	M1_spatial_concat_kmeans	4	success	0.086785	256.129	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703564_Tumor20	M1_spatial_concat_kmeans	6	success	0.10251	273.434	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703564_Tumor20	M3_spatial_leiden	4	success	0.126092	281.809	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703564_Tumor20	M3_spatial_leiden	6	success	0.132747	317.449	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703565_Tumor24	M0_expr_kmeans	4	success	0.141757	388.805	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703565_Tumor24	M0_expr_kmeans	6	success	0.187483	381.562	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703565_Tumor24	M1_spatial_concat_kmeans	4	success	0.123445	356.465	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703565_Tumor24	M1_spatial_concat_kmeans	6	success	0.170416	358.742	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703565_Tumor24	M3_spatial_leiden	4	success	0.191555	351.117	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703565_Tumor24	M3_spatial_leiden	6	success	0.182453	351.16	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703566_Tumor26	M0_expr_kmeans	4	success	0.118101	324.301	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703566_Tumor26	M0_expr_kmeans	6	success	0.132162	353.84	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703566_Tumor26	M1_spatial_concat_kmeans	4	success	0.115202	318.555	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703566_Tumor26	M1_spatial_concat_kmeans	6	success	0.138662	319.172	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703566_Tumor26	M3_spatial_leiden	4	success	0.176322	291.719	1	0	local-first	stage2a-local-full
Fig4A	GSE285505	GSM8703566_Tumor26	M3_spatial_leiden	6	success	0.176111	291.676	1	0	local-first	stage2a-local-full
Fig4A	GSE311294	GSM9322957_TR11_206	M0_expr_kmeans	4	success	0.133344	395.977	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322957_TR11_206	M0_expr_kmeans	6	success	0.442851	400.418	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322957_TR11_206	M1_spatial_concat_kmeans	4	success	0.193923	396.762	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322957_TR11_206	M1_spatial_concat_kmeans	6	success	0.501022	396.801	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322957_TR11_206	M3_spatial_leiden	4	success	0.298964	430.438	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322957_TR11_206	M3_spatial_leiden	6	success	0.406229	436.395	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322958_TR11_16184	M0_expr_kmeans	4	success	0.158171	426.574	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322958_TR11_16184	M0_expr_kmeans	6	success	0.236485	426.781	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322958_TR11_16184	M1_spatial_concat_kmeans	4	success	0.15596	411.445	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322958_TR11_16184	M1_spatial_concat_kmeans	6	success	0.227875	420.438	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322958_TR11_16184	M3_spatial_leiden	4	success	0.328806	338.43	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322958_TR11_16184	M3_spatial_leiden	6	success	0.332201	338.637	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	4	success	0.174611	307.148	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	success	0.250167	335.84	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322959_TR11_18105	M1_spatial_concat_kmeans	4	success	0.1472	336.797	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322959_TR11_18105	M1_spatial_concat_kmeans	6	success	0.369897	336.797	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322959_TR11_18105	M3_spatial_leiden	4	success	0.233129	356.164	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322959_TR11_18105	M3_spatial_leiden	6	success	0.23903	357.773	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322960_TR11_21723	M0_expr_kmeans	4	success	0.215735	389.438	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322960_TR11_21723	M0_expr_kmeans	6	success	0.271798	411.562	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322960_TR11_21723	M1_spatial_concat_kmeans	4	success	0.171232	349.844	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322960_TR11_21723	M1_spatial_concat_kmeans	6	success	0.239637	384.664	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322960_TR11_21723	M3_spatial_leiden	4	success	0.26745	303.867	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322960_TR11_21723	M3_spatial_leiden	6	success	0.270932	303.906	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322961_TR16_23542	M0_expr_kmeans	4	success	0.140937	344.617	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322961_TR16_23542	M0_expr_kmeans	6	success	0.217678	357.969	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322961_TR16_23542	M1_spatial_concat_kmeans	4	success	0.110105	294.25	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322961_TR16_23542	M1_spatial_concat_kmeans	6	success	0.195511	319.988	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322961_TR16_23542	M3_spatial_leiden	4	success	0.268122	246.051	1	0	local-first	stage3a-full-replication
Fig4A	GSE311294	GSM9322961_TR16_23542	M3_spatial_leiden	6	success	0.281763	246.094	1	0	local-first	stage3a-full-replication
Fig4A	GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	4	success	0.498323	367.891	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265211_CTC21P	M0_expr_kmeans	6	success	0.679695	369.914	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265211_CTC21P	M1_spatial_concat_kmeans	4	success	0.460175	361.527	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265211_CTC21P	M1_spatial_concat_kmeans	6	success	0.488974	363.727	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265211_CTC21P	M3_spatial_leiden	4	success	0.312527	408.238	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265211_CTC21P	M3_spatial_leiden	6	success	0.322487	408.934	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	4	success	0.268692	481.648	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265212_CTC21M	M0_expr_kmeans	6	success	0.236358	514.23	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265212_CTC21M	M1_spatial_concat_kmeans	4	success	0.240446	489.168	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265212_CTC21M	M1_spatial_concat_kmeans	6	success	0.130406	510.41	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265212_CTC21M	M3_spatial_leiden	4	success	0.233146	507.066	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265212_CTC21M	M3_spatial_leiden	6	success	0.253083	486.836	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265213_CTC17P	M0_expr_kmeans	4	success	0.174012	531.781	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265213_CTC17P	M0_expr_kmeans	6	success	0.164903	562.391	1	0	local-first	stage3b-full-replication
Fig4A	GSE267401	GSM8265213_CTC17P	M1_spatial_concat_kmeans	4	success	0.136416	516.379	1	0	local-first	stage3b-full-replication
